Tytuł,Autor,Autor (po nazwisku),Tłumacz,Okładka,Data emisji,Opis audycji,Link
Do perfekcji,Vincenzo Latronico,Latronico Vincenzo,Katarzyna Skórska,https://static.prsa.pl/images/610bb4a0-d211-47b9-95b0-c6e1ace738ac.jpg,27.06.2025,Do perfekcji i Ogrodnik i śmierć. O poszukiwaniach sensu w świecie pełnym pozorów,"https://www.polskieradio.pl/8/2827/Artykul/3543383,do-perfekcji-i-ogrodnik-i-smierc-o-poszukiwaniach-sensu-w-swiecie-pelnym-pozorow"
Ogrodnik i śmierć,Georgi Gospodinow,Gospodinow Georgi,Magdalena Pytlak,https://static.prsa.pl/images/610bb4a0-d211-47b9-95b0-c6e1ace738ac.jpg,27.06.2025,Do perfekcji i Ogrodnik i śmierć. O poszukiwaniach sensu w świecie pełnym pozorów,"https://www.polskieradio.pl/8/2827/Artykul/3543383,do-perfekcji-i-ogrodnik-i-smierc-o-poszukiwaniach-sensu-w-swiecie-pelnym-pozorow"
"Podajcie się, Ziemianie!",Bora Chung,Chung Bora,Dominika Chybowska-Jang,https://static.prsa.pl/images/5b20aa5e-a2d6-4392-9b10-f251c3114f7d.jpg,21.06.2025,"Podajcie się, Ziemianie! i Brokułowy cios. Surrealistyczne fantazje koreańskich literatów","https://www.polskieradio.pl/8/2827/Artykul/3539530,podajcie-sie-ziemianie-i-brokulowy-cios-surrealistyczne-fantazje-koreanskich-literatow"
Brokułowy cios,Yuri Lee,Lee Yuri,Zuza Olszewska,https://static.prsa.pl/images/5b20aa5e-a2d6-4392-9b10-f251c3114f7d.jpg,21.06.2025,"Podajcie się, Ziemianie! i Brokułowy cios. Surrealistyczne fantazje koreańskich literatów","https://www.polskieradio.pl/8/2827/Artykul/3539530,podajcie-sie-ziemianie-i-brokulowy-cios-surrealistyczne-fantazje-koreanskich-literatow"
Krzywda,Paweł Rzewuski,Rzewuski Paweł,(brak danych),https://static.prsa.pl/images/b84ac4b7-6c3b-4ef2-8f9a-f2ab5637cb25.jpg,13.06.2025,Paweł Rzewuski Krzywda i Jakub Nowak Nie w szczepionkę,"https://www.polskieradio.pl/8/2827/Artykul/3537400,pawel-rzewuski-krzywda-i-jakub-nowak-nie-w-szczepionke"
Nie w szczepionkę,Jakub Nowak,Nowak Jakub,(brak danych),https://static.prsa.pl/images/b84ac4b7-6c3b-4ef2-8f9a-f2ab5637cb25.jpg,13.06.2025,Paweł Rzewuski Krzywda i Jakub Nowak Nie w szczepionkę,"https://www.polskieradio.pl/8/2827/Artykul/3537400,pawel-rzewuski-krzywda-i-jakub-nowak-nie-w-szczepionke"
Końce światów,Ziemowit Szczerek,Szczerek Ziemowit,(brak danych),https://static.prsa.pl/images/8873699e-a275-40d5-ab2c-91ec69e5b491.jpg,05.06.2025,"Ziemowit Szczerek Końce światów, Mateusz Górniak Ćpun i głupek","https://www.polskieradio.pl/8/2827/Artykul/3533827,ziemowit-szczerek-konce-swiatow-mateusz-gorniak-cpun-i-glupek"
Ćpun i głupek,Mateusz Górniak,Górniak Mateusz,(brak danych),https://static.prsa.pl/images/8873699e-a275-40d5-ab2c-91ec69e5b491.jpg,05.06.2025,"Ziemowit Szczerek Końce światów, Mateusz Górniak Ćpun i głupek","https://www.polskieradio.pl/8/2827/Artykul/3533827,ziemowit-szczerek-konce-swiatow-mateusz-gorniak-cpun-i-glupek"
Urodziny,Weronika Murek,Murek Weronika,(brak danych),https://static.prsa.pl/images/85d1f6da-468d-4984-a3b1-ad72e5f1c79a.jpg,31.05.2025,Co słychać w polskiej prozie? Literackie powroty i debiuty,"https://www.polskieradio.pl/8/2827/Artykul/3529906,co-slychac-w-polskiej-prozie-literackie-powroty-i-debiuty"
"O pięciu osobach, które odwiedziły moją żonę po mojej śmierci",Julia M. Maj,Maj Julia M.,(brak danych),https://static.prsa.pl/images/85d1f6da-468d-4984-a3b1-ad72e5f1c79a.jpg,31.05.2025,Co słychać w polskiej prozie? Literackie powroty i debiuty,"https://www.polskieradio.pl/8/2827/Artykul/3529906,co-slychac-w-polskiej-prozie-literackie-powroty-i-debiuty"
